t_s,qpos_shoulder_pan,qpos_shoulder_lift,qpos_elbow_flex,qpos_wrist_flex,qpos_wrist_roll,qpos_gripper
6.18007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.20007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.22007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.24007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.26007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.28007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.30007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.32007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.34008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.36007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.38007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.40007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.42007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.44007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.46007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.48007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.50007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.52007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.54008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.56007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.58010,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.60007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.62007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.64007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.66007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.68008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.70007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.72008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.74008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.76008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.78007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.80007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.82008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.84008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.86008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.88008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.90008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.92008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.94007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.96007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.98007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
7.00008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
7.02008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
7.04008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
7.06008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
7.08008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
7.10007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
7.12008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
7.14008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
7.16017,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
7.18008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
7.20008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
7.22008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
7.24008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
7.26008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
7.28008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
7.30008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
7.32008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
7.34008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
7.36008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
7.38008,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
