t_recv_s,marker_finger_x,marker_finger_y,marker_finger_z,marker_finger_detected,marker_wrist_x,marker_wrist_y,marker_wrist_z,marker_wrist_detected
6.99744,0.113699,-0.104699,0.097982,1,0.075897,-0.063080,0.132399,1
7.03339,0.113778,-0.104446,0.097904,1,0.075960,-0.062643,0.132336,1
7.06538,0.113663,-0.104368,0.097870,1,0.075851,-0.063005,0.132332,1
7.09738,0.113780,-0.104248,0.097798,1,0.076026,-0.063347,0.132405,1
7.13339,0.113708,-0.104342,0.097913,1,0.075883,-0.062942,0.132412,1
7.16540,0.113752,-0.104674,0.097975,1,0.076020,-0.063392,0.132480,1
7.19741,0.113730,-0.104514,0.097919,1,0.075941,-0.062933,0.132381,1
7.23333,0.113687,-0.104405,0.097936,1,0.075862,-0.062872,0.132389,1
7.26540,0.113747,-0.104299,0.097852,1,0.075932,-0.062844,0.132360,1
7.29732,0.113676,-0.104172,0.097895,1,0.075876,-0.063043,0.132433,1
7.33339,0.113775,-0.104238,0.097837,1,0.075991,-0.063096,0.132388,1
7.36541,0.113702,-0.104826,0.098079,1,0.075895,-0.062805,0.132410,1
7.39750,0.113763,-0.104546,0.097983,1,0.075960,-0.063147,0.132449,1
7.43340,0.113739,-0.104372,0.097846,1,0.075949,-0.062797,0.132316,1
7.46538,0.113807,-0.104406,0.097851,1,0.076062,-0.063076,0.132370,1
7.49743,0.113905,-0.104406,0.097818,1,0.076176,-0.063126,0.132411,1
7.53339,0.113775,-0.104573,0.097979,1,0.076022,-0.063037,0.132443,1
7.56529,0.113592,-0.104093,0.097867,1,0.075770,-0.062885,0.132339,1
7.59730,0.113717,-0.104599,0.097924,1,0.075995,-0.063366,0.132439,1
7.63349,0.113794,-0.104598,0.097970,1,0.076029,-0.063005,0.132418,1
7.66529,0.113636,-0.104239,0.097914,1,0.075771,-0.062660,0.132323,1
7.69734,0.113608,-0.104411,0.097867,1,0.075807,-0.063078,0.132350,1
7.73342,0.113754,-0.104253,0.097818,1,0.076028,-0.063192,0.132415,1
7.76542,0.113523,-0.104312,0.098005,1,0.075693,-0.063084,0.132430,1
7.79751,0.113498,-0.104413,0.097949,1,0.075650,-0.063317,0.132403,1
7.83336,0.113805,-0.104344,0.097858,1,0.076098,-0.063457,0.132475,1
